EmbeddingDimension,RepitionIndex,TrainingFraction,TrainACC,TrainAUC,TestACC,TestAUC,Label
1,1,0.5,0.85068815946579,0.929738640785217,0.752066135406494,0.818284332752228,LearntEmbedding
1,1,0.25,0.940795361995697,0.985867083072662,0.698347091674805,0.774229884147644,LearntEmbedding
1,1,0.75,0.995521783828735,0.999477624893188,0.764462828636169,0.812615215778351,LearntEmbedding
1,1,1,0.991901397705078,0.999318242073059,0.768595039844513,0.819821178913116,LearntEmbedding
1,2,0.5,0.923038721084595,0.978049635887146,0.780991733074188,0.87022739648819,LearntEmbedding
1,2,0.75,0.956959843635559,0.992357015609741,0.752066135406494,0.794959366321564,LearntEmbedding
1,2,1,0.986669659614563,0.998934745788574,0.780991733074188,0.824158251285553,LearntEmbedding
1,2,0.25,0.946558833122253,0.988677382469177,0.727272748947144,0.770370900630951,LearntEmbedding
1,5,0.5,0.941700220108032,0.986784279346466,0.764462828636169,0.838467240333557,LearntEmbedding
1,5,0.25,0.987837135791779,0.999040603637695,0.739669442176819,0.794515371322632,LearntEmbedding
1,5,0.75,0.993163406848908,0.999516606330872,0.793388426303864,0.830305337905884,LearntEmbedding
1,5,1,0.874993801116943,0.94747120141983,0.768595039844513,0.834608256816864,LearntEmbedding
1,4,1,0.995419085025787,0.999605476856232,0.805785119533539,0.855986475944519,LearntEmbedding
1,4,0.75,0.828687250614166,0.907936811447144,0.818181812763214,0.859128475189209,LearntEmbedding
1,4,0.25,0.996780395507812,0.999879658222198,0.706611573696137,0.751348972320556,LearntEmbedding
1,4,0.5,0.997943043708801,0.999814629554748,0.747933864593506,0.790827035903931,LearntEmbedding
1,3,0.25,0.964882671833038,0.994354069232941,0.756198346614838,0.825046122074127,LearntEmbedding
1,3,0.5,0.997843682765961,0.999826431274414,0.760330557823181,0.83269590139389,LearntEmbedding
1,3,0.75,0.990752041339874,0.999330222606659,0.797520637512207,0.847346544265747,LearntEmbedding
1,3,1,0.953882873058319,0.991408467292785,0.785123944282532,0.844716906547546,LearntEmbedding
32,1,0.5,0.855686366558075,0.928862035274506,0.842975199222565,0.886175751686096,LearntEmbedding
32,1,0.75,0.821552574634552,0.895570456981659,0.859504103660584,0.902465641498566,LearntEmbedding
32,1,0.25,0.975018382072449,0.996939361095428,0.772727251052856,0.833993554115295,LearntEmbedding
32,1,1,0.8049436211586,0.879824817180633,0.818181812763214,0.869237065315247,LearntEmbedding
32,2,0.5,0.917364716529846,0.974334895610809,0.838842988014221,0.869681119918823,LearntEmbedding
32,2,0.75,0.992905020713806,0.999420642852783,0.826446294784546,0.882419228553772,LearntEmbedding
32,2,0.25,0.93395870923996,0.982359349727631,0.772727251052856,0.824294805526733,LearntEmbedding
32,2,1,0.968465268611908,0.995593965053558,0.838842988014221,0.915784478187561,LearntEmbedding
32,5,0.75,0.992163062095642,0.999388515949249,0.85537189245224,0.897240579128265,LearntEmbedding
32,5,0.5,0.997207701206207,0.99981039762497,0.809917330741882,0.875623166561127,LearntEmbedding
32,5,0.25,0.955502092838287,0.990995407104492,0.814049601554871,0.891264200210571,LearntEmbedding
32,5,1,0.835097134113312,0.906001448631287,0.793388426303864,0.850385904312134,LearntEmbedding
32,4,1,0.994440317153931,0.999434351921082,0.805785119533539,0.870056688785553,LearntEmbedding
32,4,0.25,0.995925843715668,0.999707639217377,0.776859521865845,0.833583831787109,LearntEmbedding
32,4,0.5,0.968132376670837,0.995164215564728,0.776859521865845,0.824192345142365,LearntEmbedding
32,4,0.75,0.995746970176697,0.999558687210083,0.814049601554871,0.844716906547546,LearntEmbedding
32,3,0.75,0.992580413818359,0.999280989170074,0.826446294784546,0.901646018028259,LearntEmbedding
32,3,1,0.991727530956268,0.999237716197968,0.838842988014221,0.886175870895386,LearntEmbedding
32,3,0.25,0.995866179466248,0.999183237552643,0.793388426303864,0.833788692951202,LearntEmbedding
32,3,0.5,0.969771921634674,0.995674192905426,0.768595039844513,0.813810527324677,LearntEmbedding
8,4,1,0.906270205974579,0.967107355594635,0.826446294784546,0.871661722660065,LearntEmbedding
8,4,0.25,0.979132294654846,0.997494578361511,0.814049601554871,0.878491878509522,LearntEmbedding
8,4,0.5,0.966462969779968,0.994679272174835,0.776859521865845,0.839833319187164,LearntEmbedding
8,4,0.75,0.865851402282715,0.935607671737671,0.859504103660584,0.902568161487579,LearntEmbedding
8,3,0.25,0.957668364048004,0.991971135139465,0.830578505992889,0.889488339424133,LearntEmbedding
8,3,1,0.847453653812408,0.918615460395813,0.826446294784546,0.87480366230011,LearntEmbedding
8,3,0.75,0.974342823028564,0.996884763240814,0.814049601554871,0.873061895370483,LearntEmbedding
8,3,0.5,0.944850206375122,0.986485123634338,0.805785119533539,0.871525228023529,LearntEmbedding
8,2,0.5,0.994335949420929,0.999474465847015,0.822314023971558,0.904856264591217,LearntEmbedding
8,2,0.25,0.985988855361938,0.998684704303741,0.780991733074188,0.839901626110077,LearntEmbedding
8,2,0.75,0.951547503471374,0.990656137466431,0.809917330741882,0.880643248558044,LearntEmbedding
8,2,1,0.988820970058441,0.999022901058197,0.814049601554871,0.876169621944428,LearntEmbedding
8,5,0.5,0.996681094169617,0.999528050422668,0.822314023971558,0.88965916633606,LearntEmbedding
8,5,0.75,0.995217025279999,0.999586164951324,0.814049601554871,0.861416459083557,LearntEmbedding
8,5,0.25,0.98893016576767,0.99920791387558,0.826446294784546,0.868963897228241,LearntEmbedding
8,5,1,0.982888638973236,0.998288810253143,0.78925621509552,0.875486612319946,LearntEmbedding
8,1,0.25,0.982053756713867,0.99804037809372,0.826446294784546,0.882589936256409,LearntEmbedding
8,1,1,0.847066104412079,0.918115139007568,0.814049601554871,0.893757224082947,LearntEmbedding
8,1,0.5,0.960411369800568,0.99310690164566,0.768595039844513,0.812581062316895,LearntEmbedding
8,1,0.75,0.995342910289764,0.999425828456879,0.834710717201233,0.88969337940216,LearntEmbedding
2,5,1,0.905211925506592,0.966809332370758,0.793388426303864,0.860904276371002,LearntEmbedding
2,5,0.75,0.99362051486969,0.99939501285553,0.793388426303864,0.843999743461609,LearntEmbedding
2,5,0.5,0.995737075805664,0.999396324157715,0.797520637512207,0.846117079257965,LearntEmbedding
2,5,0.25,0.99350118637085,0.999558866024017,0.764462828636169,0.805477797985077,LearntEmbedding
2,2,0.75,0.994123935699463,0.9993896484375,0.785123944282532,0.834164381027222,LearntEmbedding
2,2,0.5,0.987976372241974,0.999014556407928,0.797520637512207,0.876476943492889,LearntEmbedding
2,2,1,0.992055475711822,0.99943733215332,0.780991733074188,0.861655592918396,LearntEmbedding
2,2,0.25,0.994117319583893,0.99970269203186,0.764462828636169,0.809097826480866,LearntEmbedding
2,1,0.5,0.998161673545837,0.999849081039429,0.772727251052856,0.850522518157959,LearntEmbedding
2,1,0.25,0.982073664665222,0.998317897319794,0.731404960155487,0.798715889453888,LearntEmbedding
2,1,1,0.995041489601135,0.999485850334168,0.797520637512207,0.835018157958984,LearntEmbedding
2,1,0.75,0.992169678211212,0.999456167221069,0.785123944282532,0.870534837245941,LearntEmbedding
2,3,1,0.95902019739151,0.992999136447906,0.793388426303864,0.846082925796509,LearntEmbedding
2,3,0.25,0.996859908103943,0.99984347820282,0.739669442176819,0.799706339836121,LearntEmbedding
2,3,0.75,0.836113452911377,0.913446009159088,0.801652908325195,0.861826419830322,LearntEmbedding
2,3,0.5,0.963541507720947,0.993983924388886,0.797520637512207,0.854244887828827,LearntEmbedding
2,4,0.25,0.979231655597687,0.997601807117462,0.772727251052856,0.847039103507996,LearntEmbedding
2,4,1,0.976206064224243,0.997313141822815,0.764462828636169,0.846731722354889,LearntEmbedding
2,4,0.5,0.99821138381958,0.999908328056335,0.801652908325195,0.839662551879883,LearntEmbedding
2,4,0.75,0.994905650615692,0.999488890171051,0.78925621509552,0.847073316574097,LearntEmbedding
16,4,0.75,0.8238645195961,0.898641288280487,0.830578505992889,0.903934240341186,LearntEmbedding
16,4,1,0.770840167999268,0.847817778587341,0.842975199222565,0.901065528392791,LearntEmbedding
16,4,0.5,0.973935484886169,0.995790958404541,0.814049601554871,0.86291915178299,LearntEmbedding
16,4,0.25,0.987996101379394,0.999055743217468,0.78925621509552,0.860255420207977,LearntEmbedding
16,3,0.25,0.984935522079468,0.998532772064209,0.822314023971558,0.861075103282928,LearntEmbedding
16,3,0.5,0.971312165260315,0.995196878910065,0.830578505992889,0.875896394252777,LearntEmbedding
16,3,0.75,0.894694983959198,0.959516525268555,0.867768585681915,0.908783555030823,LearntEmbedding
16,3,1,0.82295423746109,0.896398305892944,0.797520637512207,0.892937660217285,LearntEmbedding
16,1,0.75,0.851774096488953,0.92423152923584,0.847107410430908,0.886653900146484,LearntEmbedding
16,1,0.5,0.990768611431122,0.999331653118134,0.78925621509552,0.85564512014389,LearntEmbedding
